Store No.,Date,Time,Millisecond,U-1-Total,I-1-Total,P-1-Total,S-1-Total,Q-1-Total,PF-1-Total,FreqU-1-Total,U-2-Total,I-2-Total,P-2-Total,S-2-Total,Q-2-Total,PF-2-Total,FreqU-2-Total,U-3-Total,I-3-Total,P-3-Total,I-3-Total,Q-3-Total,PF-3-Total,FreqU-3-Total,P-SigmaA-Total,S-SigmaA-Total,Q-SigmaA-Total
73,  2022/02/24,16:01:13,101,245.014,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.996,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,244.951,0,0.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
74,  2022/02/24,16:01:14,102,244.993,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,244.995,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,244.952,0,0.00E+00,0,0.00E+00,   Error ,60,1.00E+00,0.00E+00,0.00E+00
75,  2022/02/24,16:01:15,108,253.961,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,253.966,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,253.916,0,1.00E+00,0,0.00E+00,   Error ,60.003,-2.00E+00,0.00E+00,0.00E+00
76,  2022/02/24,16:01:16,101,254.009,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,254.01,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,253.95,0,1.00E+00,0,0.00E+00,   Error ,60.002,2.00E+00,0.00E+00,0.00E+00
77,  2022/02/24,16:01:17,103,254.014,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,253.987,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,253.931,0,1.00E+00,0,0.00E+00,   Error ,60.003,0.00E+00,0.00E+00,0.00E+00
78,  2022/02/24,16:01:18,107,254.01,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,254.003,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.003,253.944,0,0.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
79,  2022/02/24,16:01:19,101,254.018,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.001,253.99,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,253.933,0,1.00E+00,0,0.00E+00,   Error ,60.002,-2.00E+00,0.00E+00,0.00E+00
80,  2022/02/24,16:01:20,102,254.004,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.003,254.003,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,253.935,0,-2.00E+00,0,0.00E+00,   Error ,60.003,0.00E+00,0.00E+00,0.00E+00
81,  2022/02/24,16:01:21,109,254.023,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,254.002,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,253.943,0,0.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
82,  2022/02/24,16:01:22,101,253.993,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,253.991,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.003,253.935,0,1.00E+00,0,0.00E+00,   Error ,60.002,2.00E+00,0.00E+00,0.00E+00
83,  2022/02/24,16:01:23,100,254.02,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,253.997,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,253.938,0,1.00E+00,0,0.00E+00,   Error ,60.002,2.00E+00,0.00E+00,0.00E+00
84,  2022/02/24,16:01:24,107,254.006,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,254.002,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,253.932,0,-1.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
